baseQuantityThreshold,created_at,id,is_fixed_price,maxQuantityThreshold,name,price,updated_at
1,2024-02-20 15:29:58,5,0,1,New Covent Garden Market Collection,1600,2024-09-09 13:54:26
2,2024-02-20 15:30:21,6,0,3,Food crate,1000,2024-09-15 14:02:56
2,2024-02-20 15:31:10,8,0,3,Thermal boxes,0,2024-09-08 20:33:55
2,2024-02-20 15:31:31,9,0,4,Flower bouquet,800,2024-09-14 08:15:10
6,2024-02-20 15:56:33,12,0,8,Small package,550,2024-09-14 08:29:59
1,2024-02-20 16:11:56,13,0,2,Flower bouquet Large,200,2024-09-09 14:23:05
1,2024-04-21 16:38:21,14,0,2,Flower crate,200,2024-09-10 15:55:13
1,2024-04-21 17:47:40,15,0,1,Box,0,2024-09-09 14:18:02
4,2024-09-09 14:22:22,17,0,6,Crate,800,2024-09-17 07:36:25
1,2024-09-10 15:53:24,18,0,1,Vegbox small bag,-500,2024-09-10 15:54:19
1,2024-09-10 15:54:08,19,0,1,Vegbox collection point,-200,2024-09-10 15:54:08
