id,name,guard_name,created_at,updated_at
1,role-view,web,2024-11-04 08:29:57,2024-11-04 08:29:57
2,role-create,web,2024-11-04 08:29:57,2024-11-04 08:29:57
3,role-edit,web,2024-11-04 08:29:57,2024-11-04 08:29:57
4,role-delete,web,2024-11-04 08:29:57,2024-11-04 08:29:57
5,permission-view,web,2024-11-04 08:29:57,2024-11-04 08:29:57
6,permission-create,web,2024-11-04 08:29:57,2024-11-04 08:29:57
7,permission-edit,web,2024-11-04 08:29:57,2024-11-04 08:29:57
8,permission-delete,web,2024-11-04 08:29:57,2024-11-04 08:29:57
9,user-view,web,2024-11-04 08:29:57,2024-11-04 08:29:57
10,user-create,web,2024-11-04 08:29:57,2024-11-04 08:29:57
11,user-edit,web,2024-11-04 08:29:57,2024-11-04 08:29:57
12,user-delete,web,2024-11-04 08:29:57,2024-11-04 08:29:57
13,client-view,web,2024-11-04 08:29:57,2024-11-04 08:29:57
14,client-create,web,2024-11-04 08:29:57,2024-11-04 08:29:57
15,client-edit,web,2024-11-04 08:29:57,2024-11-04 08:29:57
16,client-delete,web,2024-11-04 08:29:57,2024-11-04 08:29:57
17,job-view,web,2024-11-04 08:29:57,2024-11-04 08:29:57
18,job-create,web,2024-11-04 08:29:57,2024-11-04 08:29:57
19,job-edit,web,2024-11-04 08:29:57,2024-11-04 08:29:57
20,job-delete,web,2024-11-04 08:29:57,2024-11-04 08:29:57
21,job-create-chooseAnyPostalCode,web,2024-11-04 08:29:57,2024-11-04 08:29:57
