id,created_at,updated_at,name,color_main,color_pickup,color_dropoff
10,2023-12-19 11:36:13,2024-02-14 12:00:44,unassigned,#c8c8c8,#dcc8c8,#b4c8c8
11,2023-12-20 20:42:34,2023-12-20 20:42:34,request-client,#808080,#808080,#808080
12,2023-12-20 20:42:50,2023-12-20 20:42:50,request-neko,#808080,#808080,#808080
13,2024-02-14 09:09:49,2024-02-18 13:41:20,assigned,#e3e064,#9ba6fd,#fba7b4
14,2024-02-15 13:06:01,2024-02-15 13:06:01,completed,#16be13,#5dcc2e,#618a14
15,2024-02-15 13:12:29,2024-02-15 13:24:56,Ongoing - Courier at pickup,#e5ff24,#808080,#808080
16,2024-02-15 13:12:54,2024-02-15 13:25:21,Ongoing - POB - (parcel on board),#dfef01,#37b800,#808080
17,2024-02-15 13:13:07,2024-02-15 13:25:49,Ongoing - Courier - at dropOff,#b6e218,#07bb46,#d29614
18,2024-02-15 13:13:28,2024-02-15 13:26:32,Completed - POD - prof of delivery,#009600,#009600,#009600
19,2024-02-15 13:13:44,2024-02-15 13:13:44,Canceled,#808080,#808080,#808080
20,2024-02-15 13:14:00,2024-02-15 13:14:00,Undelivered,#808080,#808080,#808080
