bike_id,capacity,created_at,day_id,id,updated_at,user_id
1,100%,2024-11-15 18:05:17,1,1,2024-11-15 18:05:17,4
2,75%,2024-11-15 18:05:17,1,2,2024-11-15 18:05:17,5
3,drunk,2024-11-15 18:05:17,1,3,2024-11-15 18:05:17,6
1,sick,2024-11-15 18:05:17,2,4,2024-11-15 18:05:17,4
3,tired,2024-11-15 18:05:17,2,5,2024-11-15 18:05:17,5
2,100%,2024-11-15 18:05:17,2,6,2024-11-15 18:05:17,6
2,10%,2024-11-15 18:05:17,3,7,2024-11-15 18:05:17,4
3,100%,2024-11-15 18:05:17,3,8,2024-11-15 18:05:17,5
1,100%,2024-11-15 18:05:17,3,9,2024-11-15 18:05:17,6
2,100%,2024-11-15 18:05:17,4,10,2024-11-15 18:05:17,4
1,10%,2024-11-15 18:05:17,4,11,2024-11-15 18:05:17,5
3,100%,2024-11-15 18:05:17,4,12,2024-11-15 18:05:17,6
3,100%,2024-11-15 18:05:17,5,13,2024-11-15 18:05:17,4
1,100%,2024-11-15 18:05:17,5,14,2024-11-15 18:05:17,5
2,10%,2024-11-15 18:05:17,5,15,2024-11-15 18:05:17,6
