id,created_at,updated_at,begin_date,end_date,name,display_name,price
4,2024-01-25 14:13:21,2024-09-08 17:50:20,2024-01-22 00:00:00,2035-09-17 00:00:00,postalcodes-outoflist,Outside of service zone,600
6,2024-02-09 09:56:34,2024-02-09 09:56:34,2024-01-01 00:00:00,2024-12-31 00:00:00,package-oversize,Oversize,200
7,2024-09-08 14:30:57,2024-09-25 15:14:14,2024-01-01 00:00:00,2034-01-01 00:00:00,distance-threshold-1-step-0.5,distance_0.5Mile_rule,100
8,2024-09-08 16:13:40,2024-10-24 16:16:22,2024-01-01 00:00:00,2034-01-01 00:00:00,distance-threshold-5-step-0.5,distance_0.5Mile_rule_2,200
9,2024-09-08 16:14:09,2024-10-24 16:16:45,2024-01-01 00:00:00,2034-01-01 00:00:00,distance-threshold-6-step-1,distance_0.5Mile_rule_2,350
10,2024-09-08 16:18:12,2024-09-20 05:40:34,2024-01-01 00:00:00,2034-01-01 00:00:00,weight-threshold-20-step-10,weight rule,200
11,2024-09-08 16:53:34,2024-09-08 16:56:41,2024-01-01 00:00:00,2034-01-01 00:00:00,time-normalworktime-pickup-begin-800,time rule,0
12,2024-09-08 16:54:36,2024-09-08 16:57:08,2024-01-01 00:00:00,2034-01-01 00:00:00,time-normalworktime-pickup-end-1600,time rule,0
13,2024-09-08 16:58:06,2024-09-08 16:58:06,2024-01-01 00:00:00,2034-01-01 00:00:00,time-normalworktime-dropoff-begin-800,time rule,0
14,2024-09-08 16:58:29,2024-09-08 16:58:29,2024-01-01 00:00:00,2034-01-01 00:00:00,time-normalworktime-dropoff-end-1700,time rule,0
15,2024-09-08 16:59:12,2024-09-08 16:59:12,2024-01-01 00:00:00,2034-01-01 00:00:00,time-maxworktime-pickup-begin-600,time rule,0
16,2024-09-08 16:59:27,2024-09-08 16:59:27,2024-01-01 00:00:00,2034-01-01 00:00:00,time-maxworktime-pickup-end-1700,time rule,0
17,2024-09-08 16:59:50,2024-09-08 16:59:50,2024-01-01 00:00:00,2034-01-01 00:00:00,time-maxworktime-dropoff-begin-600,time rule,0
18,2024-09-08 17:00:00,2024-09-08 17:00:00,2024-01-01 00:00:00,2034-01-01 00:00:00,time-maxworktime-dropoff-end-1800,time rule,0
19,2024-09-08 18:29:28,2024-09-23 13:45:29,2024-01-01 00:00:00,2034-01-01 00:00:00,time-normalworktime-cof,time rule,69
20,2024-09-08 18:30:05,2024-09-16 09:12:32,2024-01-01 00:00:00,2034-01-01 00:00:00,time-maxworktime-cof,time rule,0
21,2024-09-20 05:28:25,2024-09-20 05:28:25,2023-01-01 00:00:00,2035-12-31 00:00:00,weight-threshold-30-step-10,weight-rule,100
22,2024-10-24 10:12:19,2024-11-17 16:03:36,2000-10-01 00:00:00,2037-01-01 00:00:00,time-pickup-window-15,timingwindows,300
23,2024-10-24 10:12:37,2024-10-24 11:30:20,2000-10-01 00:00:00,2037-01-01 00:00:00,time-pickup-window-30,timingwindows,250
24,2024-10-24 10:12:49,2024-10-24 11:30:14,2000-10-01 00:00:00,2037-01-01 00:00:00,time-pickup-window-60,timingwindows,200
25,2024-10-24 10:12:58,2024-10-24 11:30:05,2000-10-01 00:00:00,2037-01-01 00:00:00,time-pickup-window-120,timingwindows,175
26,2024-10-24 10:13:09,2024-10-24 11:29:57,2000-10-01 00:00:00,2037-01-01 00:00:00,time-pickup-window-180,timingwindows,150
27,2024-10-24 10:13:20,2024-10-24 11:29:45,2000-10-01 00:00:00,2037-01-01 00:00:00,time-pickup-window-240,timingwindows,125
28,2024-10-24 10:13:38,2024-10-24 11:29:34,2000-10-01 00:00:00,2037-01-01 00:00:00,time-pickup-window-300,timingwindows,100
29,2024-10-24 10:14:46,2024-10-24 11:29:24,2000-10-01 00:00:00,2037-01-01 00:00:00,time-pickup-window-360,timingwindows,75
30,2024-10-24 10:14:57,2024-10-24 11:29:16,2000-10-01 00:00:00,2037-01-01 00:00:00,time-pickup-window-420,timingwindows,50
31,2024-10-24 10:15:05,2024-10-24 11:29:00,2021-12-26 00:00:00,2037-01-01 00:00:00,time-pickup-window-480,timingwindows,0
32,2024-10-24 14:58:05,2024-10-24 14:58:05,2021-12-26 00:00:00,2037-01-01 00:00:00,time-dropoff-window-15,timingwindows,250
33,2024-10-24 14:58:13,2024-10-24 14:58:13,2021-12-26 00:00:00,2037-01-01 00:00:00,time-dropoff-window-30,timingwindows,200
34,2024-10-24 14:58:30,2024-10-24 14:58:30,2021-12-26 00:00:00,2037-01-01 00:00:00,time-dropoff-window-60,timingwindows,150
35,2024-10-24 14:58:41,2024-10-24 14:58:41,2021-12-26 00:00:00,2037-01-01 00:00:00,time-dropoff-window-120,timingwindows,125
36,2024-10-24 14:59:22,2024-10-24 14:59:22,2021-12-26 00:00:00,2037-01-01 00:00:00,time-dropoff-window-180,timingwindows,100
37,2024-10-24 14:59:33,2024-10-24 14:59:33,2021-12-26 00:00:00,2037-01-01 00:00:00,time-dropoff-window-240,timingwindows,75
38,2024-10-24 14:59:43,2024-10-24 14:59:43,2021-12-26 00:00:00,2037-01-01 00:00:00,time-dropoff-window-300,timingwindows,75
39,2024-10-24 14:59:53,2024-10-24 14:59:53,2021-12-26 00:00:00,2037-01-01 00:00:00,time-dropoff-window-360,timingwindows,50
40,2024-10-24 14:59:59,2024-10-24 14:59:59,2021-12-26 00:00:00,2037-01-01 00:00:00,time-dropoff-window-420,timingwindows,50
41,2024-10-24 15:00:07,2024-10-24 15:00:07,2021-12-26 00:00:00,2037-01-01 00:00:00,time-dropoff-window-480,timingwindows,50
42,2024-10-24 15:00:21,2024-10-24 15:00:21,2021-12-26 00:00:00,2037-01-01 00:00:00,time-dropoff-window-540,timingwindows,0
43,2024-10-24 16:18:53,2024-10-24 16:18:53,2000-01-01 00:00:00,9999-12-31 00:00:00,distance-threshold-8-step-1,distance rule,400
