id,name,guard_name,created_at,updated_at
1,role-view,web,2024-11-18 17:03:04,2024-11-18 17:03:04
2,role-create,web,2024-11-18 17:03:04,2024-11-18 17:03:04
3,role-edit,web,2024-11-18 17:03:04,2024-11-18 17:03:04
4,role-delete,web,2024-11-18 17:03:04,2024-11-18 17:03:04
5,permission-view,web,2024-11-18 17:03:04,2024-11-18 17:03:04
6,permission-create,web,2024-11-18 17:03:04,2024-11-18 17:03:04
7,permission-edit,web,2024-11-18 17:03:04,2024-11-18 17:03:04
8,permission-delete,web,2024-11-18 17:03:04,2024-11-18 17:03:04
9,user-view,web,2024-11-18 17:03:04,2024-11-18 17:03:04
10,user-create,web,2024-11-18 17:03:04,2024-11-18 17:03:04
11,user-edit,web,2024-11-18 17:03:04,2024-11-18 17:03:04
12,user-delete,web,2024-11-18 17:03:04,2024-11-18 17:03:04
13,client-view,web,2024-11-18 17:03:04,2024-11-18 17:03:04
14,client-create,web,2024-11-18 17:03:04,2024-11-18 17:03:04
15,client-edit,web,2024-11-18 17:03:04,2024-11-18 17:03:04
16,client-delete,web,2024-11-18 17:03:04,2024-11-18 17:03:04
17,job-view,web,2024-11-18 17:03:04,2024-11-18 17:03:04
18,job-create,web,2024-11-18 17:03:04,2024-11-18 17:03:04
19,job-edit,web,2024-11-18 17:03:04,2024-11-18 17:03:04
20,job-delete,web,2024-11-18 17:03:04,2024-11-18 17:03:04
21,job-create-chooseAnyPostalCode,web,2024-11-18 17:03:04,2024-11-18 17:03:04
